	geometric_mean_score	specificity_score	f1_score	accuracy_score
ecoli-0_vs_1	0.983	0.975	0.99	0.986
ecoli1	0.892	0.89	0.795	0.891
ecoli2	0.896	0.956	0.808	0.939
ecoli3	0.891	0.882	0.619	0.884
glass-0-1-2-3_vs_4-5-6	0.934	0.948	0.886	0.941
glass0	0.848	0.858	0.787	0.853
glass1	0.766	0.848	0.703	0.794
glass6	0.934	0.973	0.867	0.963
haberman	0.611	0.709	0.456	0.662
iris0	1.0	1.0	1.0	1.0
new-thyroid1	0.965	0.975	0.918	0.972
newthyroid2	0.966	0.978	0.925	0.974
page-blocks0	0.959	0.963	0.839	0.962
pima	0.737	0.779	0.662	0.751
segment0	0.989	0.992	0.97	0.991
vehicle0	0.963	0.944	0.908	0.953
vehicle1	0.758	0.773	0.62	0.766
vehicle2	0.967	0.974	0.944	0.97
vehicle3	0.754	0.784	0.612	0.77
wisconsin	0.97	0.968	0.957	0.969
yeast1	0.718	0.785	0.603	0.748
yeast3	0.927	0.935	0.754	0.933
