	NBBag_k7_fi1_chebyshev	NBBag_k7_fi1_cosine	NBBag_k7_fi1_euclidean	NBBag_k7_fi1_manhattan
ecoli-0_vs_1	0.975	0.975	0.975	0.975
ecoli1	0.927	0.93	0.93	0.928
ecoli2	0.97	0.97	0.972	0.972
ecoli3	0.963	0.967	0.962	0.962
glass-0-1-2-3_vs_4-5-6	0.957	0.96	0.96	0.96
glass0	0.896	0.896	0.906	0.913
glass1	0.877	0.877	0.873	0.866
glass6	0.968	0.968	0.968	0.968
haberman	0.813	0.82	0.82	0.813
iris0	1.0	1.0	1.0	1.0
new-thyroid1	0.983	0.983	0.983	0.983
newthyroid2	0.978	0.978	0.978	0.978
page-blocks0	0.986	0.986	0.987	0.987
pima	0.844	0.843	0.847	0.846
segment0	0.998	0.997	0.997	0.997
vehicle0	0.968	0.969	0.971	0.968
vehicle1	0.88	0.881	0.88	0.878
vehicle2	0.978	0.976	0.978	0.978
vehicle3	0.92	0.914	0.916	0.92
wisconsin	0.973	0.967	0.971	0.968
yeast1	0.878	0.876	0.874	0.874
yeast3	0.97	0.97	0.971	0.97
