	NBBag_k7_fi0.5_euclidean	NBBag_k7_fi1_euclidean	NBBag_k7_fi1.5_euclidean	NBBag_k7_fi2_euclidean
ecoli-0_vs_1	0.985	0.985	0.987	0.985
ecoli1	0.842	0.857	0.86	0.848
ecoli2	0.857	0.846	0.836	0.85
ecoli3	0.718	0.723	0.733	0.712
glass-0-1-2-3_vs_4-5-6	0.924	0.919	0.912	0.913
glass0	0.829	0.842	0.836	0.849
glass1	0.748	0.739	0.739	0.762
glass6	0.902	0.921	0.923	0.913
haberman	0.48	0.498	0.511	0.494
iris0	1.0	1.0	1.0	1.0
new-thyroid1	0.947	0.947	0.932	0.932
newthyroid2	0.914	0.913	0.913	0.931
page-blocks0	0.923	0.925	0.922	0.92
pima	0.719	0.725	0.725	0.705
segment0	0.986	0.985	0.984	0.984
vehicle0	0.94	0.939	0.94	0.947
vehicle1	0.647	0.648	0.664	0.651
vehicle2	0.96	0.96	0.964	0.968
vehicle3	0.625	0.641	0.63	0.633
wisconsin	0.961	0.96	0.961	0.963
yeast1	0.666	0.662	0.658	0.655
yeast3	0.866	0.869	0.873	0.875
