	NBBAG_k7_fi1_euclidean	AdaBoost	Bagging	SMOTEAdaBoost	RUSBoost	EBBAG
ecoli-0_vs_1	0.989	0.977	0.989	0.97	0.98	0.986
ecoli1	0.899	0.887	0.897	0.887	0.903	0.891
ecoli2	0.938	0.908	0.942	0.905	0.929	0.939
ecoli3	0.92	0.914	0.927	0.887	0.908	0.884
glass-0-1-2-3_vs_4-5-6	0.941	0.93	0.941	0.92	0.941	0.941
glass0	0.867	0.804	0.853	0.79	0.846	0.853
glass1	0.787	0.731	0.794	0.768	0.818	0.794
glass6	0.956	0.932	0.956	0.949	0.965	0.963
haberman	0.685	0.655	0.685	0.65	0.693	0.662
iris0	1.0	1.0	1.0	1.0	1.0	1.0
new-thyroid1	0.972	0.965	0.967	0.974	0.974	0.972
newthyroid2	0.958	0.951	0.974	0.965	0.977	0.974
page-blocks0	0.975	0.97	0.975	0.971	0.962	0.962
pima	0.768	0.702	0.77	0.709	0.721	0.751
segment0	0.994	0.993	0.995	0.995	0.997	0.991
vehicle0	0.956	0.927	0.958	0.929	0.951	0.953
vehicle1	0.777	0.741	0.782	0.741	0.778	0.766
vehicle2	0.969	0.951	0.975	0.96	0.97	0.97
vehicle3	0.8	0.761	0.788	0.765	0.773	0.77
wisconsin	0.963	0.942	0.965	0.941	0.969	0.969
yeast1	0.767	0.715	0.772	0.701	0.738	0.748
yeast3	0.95	0.927	0.947	0.934	0.939	0.933
