	NBBag_k3_fi1_euclidean	NBBag_k5_fi1_euclidean	NBBag_k7_fi0.5_euclidean	NBBag_k3_fi2_chebyshev	NBBag_k5_fi2_chebyshev	NBBag_k7_fi2_chebyshev	NBBag_k9_fi2_chebyshev	NBBag_k11_fi2_chebyshev	NBBag_k7_fi1_chebyshev	NBBag_k7_fi1_cosine	NBBag_k7_fi1_euclidean	NBBag_k7_fi1_manhattan	NBBag_k7_fi1.5_euclidean	NBBag_k7_fi2_euclidean	NBBag_k9_fi1_euclidean	NBBag_k11_fi1_euclidean
ecoli-0_vs_1	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
ecoli1	[8]	[6, 8]	[]	[]	[]	[]	[]	[]	[]	[6, 8]	[8]	[]	[5, 6, 8, 14]	[]	[]	[]
ecoli2	[]	[]	[]	[]	[]	[3, 10]	[]	[2, 14]	[]	[]	[]	[]	[2]	[]	[]	[]
ecoli3	[]	[]	[]	[]	[]	[]	[6]	[]	[5]	[]	[]	[]	[]	[]	[5]	[]
glass-0-1-2-3_vs_4-5-6	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
glass0	[]	[]	[]	[]	[]	[2, 9, 10, 12, 16]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
glass1	[2, 3, 4, 10]	[10]	[]	[]	[4]	[2, 3, 10]	[2, 4, 10]	[]	[10]	[]	[]	[10]	[]	[]	[2, 10, 12, 16]	[]
glass6	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
haberman	[]	[13]	[]	[]	[]	[5, 7]	[]	[]	[15]	[]	[]	[3, 4, 15]	[]	[]	[]	[15]
iris0	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
new-thyroid1	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
newthyroid2	[]	[]	[]	[]	[]	[1, 16]	[]	[5]	[]	[]	[]	[]	[]	[]	[]	[]
page-blocks0	[]	[]	[]	[]	[]	[]	[]	[]	[1, 4, 7, 12]	[1, 4]	[13]	[]	[]	[]	[4]	[]
pima	[6, 7, 8, 10, 13, 14]	[5, 6, 7, 8, 13, 14]	[8]	[8]	[8]	[]	[]	[]	[6, 8, 13]	[8]	[5, 6, 8, 14]	[6, 7, 8, 13, 14]	[8]	[8]	[8]	[5, 6, 7, 8, 13, 14]
segment0	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
vehicle0	[]	[]	[]	[]	[1, 2, 4, 9, 10, 11, 12, 15, 16]	[]	[1, 10, 11, 12, 16]	[]	[]	[]	[]	[]	[]	[1, 2, 4, 10, 11, 12, 15, 16]	[]	[]
vehicle1	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[3]
vehicle2	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
vehicle3	[3, 4, 8]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[4, 8]	[]	[]	[]	[]
wisconsin	[]	[]	[]	[]	[]	[]	[3]	[]	[]	[]	[]	[]	[]	[]	[]	[]
yeast1	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
yeast3	[]	[]	[]	[]	[]	[15]	[10, 11, 15]	[1, 9, 10, 11, 12, 13, 15]	[]	[]	[]	[]	[]	[10, 11, 13, 15]	[]	[]
