	NBBag_k3_fi2_chebyshev	NBBag_k5_fi2_chebyshev	NBBag_k7_fi2_chebyshev	NBBag_k9_fi2_chebyshev	NBBag_k11_fi2_chebyshev	NBBag_k7_fi1_chebyshev
ecoli-0_vs_1	0.986	0.987	0.986	0.984	0.984	0.986
ecoli1	0.851	0.848	0.845	0.847	0.837	0.859
ecoli2	0.858	0.859	0.869	0.864	0.869	0.865
ecoli3	0.748	0.739	0.739	0.767	0.753	0.767
glass-0-1-2-3_vs_4-5-6	0.91	0.9	0.906	0.913	0.902	0.906
glass0	0.837	0.851	0.857	0.839	0.839	0.828
glass1	0.746	0.767	0.778	0.786	0.777	0.757
glass6	0.918	0.926	0.926	0.914	0.914	0.924
haberman	0.565	0.561	0.584	0.569	0.566	0.577
iris0	1.0	1.0	1.0	1.0	1.0	1.0
new-thyroid1	0.94	0.935	0.952	0.959	0.952	0.949
newthyroid2	0.919	0.91	0.949	0.94	0.944	0.917
page-blocks0	0.924	0.924	0.925	0.923	0.926	0.931
pima	0.73	0.729	0.722	0.722	0.707	0.739
segment0	0.984	0.983	0.983	0.984	0.984	0.984
vehicle0	0.941	0.951	0.949	0.948	0.944	0.943
vehicle1	0.676	0.676	0.687	0.681	0.684	0.678
vehicle2	0.966	0.965	0.966	0.968	0.969	0.962
vehicle3	0.671	0.682	0.669	0.671	0.666	0.68
wisconsin	0.96	0.96	0.963	0.965	0.965	0.96
yeast1	0.686	0.688	0.689	0.685	0.691	0.686
yeast3	0.873	0.876	0.88	0.881	0.885	0.873
