	NBBag_k3_fi1_euclidean	NBBag_k5_fi1_euclidean	NBBag_k7_fi1_euclidean	NBBag_k9_fi1_euclidean	NBBag_k11_fi1_euclidean
ecoli-0_vs_1	0.985	0.985	0.985	0.985	0.985
ecoli1	0.853	0.856	0.856	0.852	0.849
ecoli2	0.842	0.827	0.835	0.853	0.841
ecoli3	0.711	0.719	0.719	0.734	0.711
glass-0-1-2-3_vs_4-5-6	0.91	0.918	0.919	0.913	0.919
glass0	0.825	0.829	0.832	0.833	0.819
glass1	0.758	0.728	0.74	0.758	0.74
glass6	0.903	0.921	0.921	0.921	0.921
haberman	0.514	0.517	0.515	0.499	0.522
iris0	1.0	1.0	1.0	1.0	1.0
new-thyroid1	0.94	0.94	0.947	0.947	0.947
newthyroid2	0.906	0.914	0.913	0.913	0.921
page-blocks0	0.923	0.925	0.926	0.926	0.925
pima	0.732	0.731	0.735	0.723	0.733
segment0	0.985	0.986	0.985	0.985	0.984
vehicle0	0.939	0.941	0.938	0.941	0.938
vehicle1	0.644	0.64	0.646	0.647	0.659
vehicle2	0.961	0.963	0.964	0.96	0.963
vehicle3	0.64	0.635	0.628	0.631	0.625
wisconsin	0.963	0.96	0.958	0.958	0.961
yeast1	0.661	0.665	0.659	0.668	0.661
yeast3	0.865	0.87	0.865	0.863	0.865
