	NBBAG_k7_fi0.5_eucl	NBBAG_k7_fi1_eucl	NBBAG_k7_fi1.5_eucl	NBBAG_k7_fi2_eucl
ecoli-0_vs_1	0.99	0.99	0.99	0.99
ecoli1	0.84	0.86	0.86	0.85
ecoli2	0.86	0.85	0.84	0.85
ecoli3	0.72	0.72	0.73	0.71
glass-0-1-2-3_vs_4-5-6	0.92	0.92	0.91	0.91
glass0	0.83	0.84	0.84	0.85
glass1	0.75	0.74	0.74	0.76
glass6	0.9	0.92	0.92	0.91
haberman	0.48	0.5	0.51	0.49
iris0	1.0	1.0	1.0	1.0
new-thyroid1	0.95	0.95	0.93	0.93
newthyroid2	0.91	0.91	0.91	0.93
pima	0.72	0.72	0.73	0.7
vehicle0	0.94	0.94	0.94	0.95
vehicle1	0.65	0.65	0.66	0.65
vehicle2	0.96	0.96	0.96	0.97
vehicle3	0.63	0.64	0.63	0.63
wisconsin	0.96	0.96	0.96	0.96
yeast1	0.66	0.66	0.65	0.65
yeast3	0.87	0.87	0.87	0.88
